id_responden,usia,jenis_kelamin,durasi_penggunaan,frekuensi_login,kualitas_materi,kemudahan_penggunaan,stabilitas_aplikasi,interaksi_pengajar,kepuasan_pengguna
R0001,27,L,3.2,3,4.0,4,5.0,3,1
R0002,33,L,2.4,6,5.0,4,2.0,4,1
R0003,22,L,3.1,1,2.0,4,5.0,4,1
R0004,34,P,3.2,3,4.0,5,1.0,1,0
R0005,34,L,4.8,3,4.0,4,4.0,2,1
R0006,21,P,2.6,2,5.0,2,4.0,2,1
R0007,20,P,5.7,2,2.0,5,1.0,2,0
R0008,28,P,0.8,2,2.0,3,3.0,1,0
R0009,26,P,1.0,2,3.0,1,5.0,2,0
R0010,32,P,,3,,3,,1,0
R0011,30,P,2.7,2,2.0,3,4.0,1,0
R0012,27,P,3.4,3,4.0,4,1.0,5,1
R0013,34,L,0.9,1,2.0,2,1.0,5,0
R0014,32,P,5.2,4,5.0,3,2.0,4,1
R0015,22,L,2.0,2,5.0,3,4.0,2,1
R0016,24,L,0.6,5,1.0,5,1.0,1,0
R0017,30,P,0.4,6,3.0,4,5.0,1,1
R0018,27,L,0.8,1,2.0,3,2.0,4,0
R0019,23,P,5.2,1,1.0,4,1.0,4,0
R0020,24,P,2.7,6,3.0,3,4.0,4,1
R0021,23,L,5.1,2,1.0,2,3.0,4,0
R0022,24,L,3.1,5,2.0,1,3.0,2,0
R0023,30,P,5.1,5,3.0,2,5.0,3,1
R0024,20,L,1.5,1,5.0,4,2.0,3,1
R0025,34,L,4.2,5,2.0,1,4.0,4,0
R0026,23,L,0.8,4,2.0,3,1.0,4,0
R0027,34,L,5.9,1,3.0,3,1.0,1,0
R0028,21,L,2.8,2,5.0,2,2.0,3,0
R0029,34,L,0.4,7,1.0,3,5.0,5,1
R0030,19,P,5.9,5,2.0,2,1.0,1,0
R0031,30,L,,4,,2,,3,0
R0032,34,L,4.8,1,3.0,2,3.0,1,0
R0033,33,P,4.4,3,2.0,1,3.0,3,0
R0034,24,P,1.7,6,2.0,4,1.0,1,0
R0035,27,L,3.9,7,2.0,5,5.0,4,1
R0036,34,L,5.7,2,4.0,5,5.0,2,1
R0037,31,P,4.1,5,1.0,4,3.0,4,0
R0038,18,P,3.4,7,3.0,5,2.0,2,1
R0039,23,L,5.1,6,3.0,1,2.0,1,0
R0040,23,P,1.5,3,4.0,2,1.0,3,0
R0041,29,L,3.8,5,5.0,4,2.0,5,1
R0042,21,P,1.5,6,1.0,5,2.0,5,1
R0043,22,P,3.1,3,5.0,5,1.0,2,1
R0044,30,L,0.7,1,5.0,3,2.0,4,1
R0045,30,L,3.3,7,4.0,2,1.0,5,1
R0046,24,L,5.0,6,5.0,3,2.0,2,1
R0047,18,L,0.4,3,4.0,2,3.0,5,1
R0048,18,L,3.0,2,3.0,5,3.0,1,0
R0049,34,L,5.4,6,1.0,2,3.0,3,0
R0050,33,L,5.0,2,5.0,3,5.0,5,1
R0051,20,P,5.5,6,3.0,3,4.0,2,1
R0052,25,P,1.7,6,4.0,4,5.0,1,1
R0053,19,P,5.1,2,1.0,3,5.0,4,0
R0054,26,L,0.8,6,5.0,2,1.0,1,0
R0055,25,L,4.8,3,1.0,1,2.0,1,0
R0056,29,P,1.8,6,4.0,4,4.0,4,1
R0057,18,L,1.6,1,2.0,1,5.0,5,0
R0058,32,P,4.1,2,3.0,4,2.0,5,1
R0059,33,L,0.8,5,2.0,3,3.0,4,0
R0060,25,L,2.4,1,4.0,5,4.0,5,1
R0061,23,L,4.4,4,3.0,5,3.0,3,1
R0062,29,L,5.7,2,3.0,5,1.0,5,1
R0063,25,L,6.0,7,3.0,3,5.0,1,1
R0064,18,L,2.9,3,3.0,3,2.0,5,0
R0065,22,P,4.0,7,3.0,3,2.0,1,0
R0066,20,P,0.5,4,1.0,2,3.0,2,0
R0067,18,L,1.4,1,1.0,2,3.0,4,0
R0068,34,L,2.0,1,5.0,5,4.0,2,1
R0069,21,P,,2,,1,,1,0
R0070,19,P,1.8,1,3.0,4,3.0,2,0
R0071,19,P,5.2,5,5.0,3,2.0,4,1
R0072,19,P,3.6,7,1.0,2,1.0,4,0
R0073,18,P,2.6,5,1.0,1,1.0,3,0
R0074,20,P,,2,,3,,4,1
